ID_Caso,Fecha_Inicio,Tipo_Contrato,Entidad_Publica,Empresa_Privada,Monto_Contrato,Descripcion_Servicio,Estado_Contrato,Funcionario_Publico,Relacion_Funcionario_Empresa,Pagos_Realizados,Monto_Pagado,Informacion_Adicional,Sospecha_Corrupcion
96,2022-06-27,Suministro,Gobierno de San Ferando del Valle de Catamarca,Cabrera PLC,174358.54493502554,Sit quasi sint provident voluptate tempora quod esse tempore esse dolores voluptatem at iste dicta magnam ratione necessitatibus repellat exercitationem.,En Curso,Mateo Benjamin Priscila Paez,Interés Económico,9,675290.0809428425,,0
97,2023-09-14,Suministro,Municipalidad de Ushuaia,Peralta-Paz,662210.7086289856,Maiores aliquid veniam tempora qui perspiciatis corrupti unde laboriosam voluptas quidem hic adipisci cupiditate nemo ratione maiores.,En Curso,Santiago Benjamin Ferreyra,Interés Económico,3,773726.9930526568,,0
98,2022-10-16,Consultoría,Gobierno de Chilecito,Lopez and Sons,195316.61223753815,Aliquid laboriosam nemo illo tempore libero rerum quaerat eos inventore sequi reiciendis eaque distinctio magnam.,Rescindido,Maria Victoria Francesca Gonzalez Carrizo,Familiar,6,411920.1026378415,At veniam sed hic nam. Totam cum quae tempora amet voluptates nihil.,0
99,2023-02-16,Consultoría,Municipalidad de Mar del Plata,"Lopez, Lopez and Silva",762834.7145247327,Veritatis doloremque consectetur natus mollitia quas enim asperiores aperiam.,Rescindido,Dr(a). Matilda Figueroa,Familiar,0,381999.60911448504,,0
100,2022-07-15,Consultoría,Gobierno de Viedma,"Rodriguez, Avila and Herrera",817260.3893149826,Iste quas fuga nihil numquam quos quisquam expedita exercitationem.,Pendiente,Juan Cruz Santino Moreno Rodriguez,Ninguna,5,867449.2721224475,,0
101,2023-08-03,Servicios,Municipalidad de Ushuaia,Romero Inc,489909.268946712,Debitis repellat magni perspiciatis possimus illum commodi ut labore ex temporibus vel assumenda corporis.,En Curso,Catalina Benitez Ruiz,Interés Económico,5,760384.3732280825,Sapiente exercitationem ipsum maxime nisi. Quia quia recusandae.,0
102,2023-12-05,Consultoría,Municipalidad de Corrientes,Gutierrez and Sons,886143.5395584293,Voluptatem quisquam minima facilis modi quo id consequuntur nisi saepe atque omnis quae enim cum non.,Finalizado,Francesca Benjamin Perez Gimenez,Ninguna,7,689218.8552406398,,0
103,2024-10-25,Suministro,Gobierno de San Miguel de Tucumán,"Velazquez, Carrizo and Torres",400466.9087920644,Necessitatibus repudiandae quo necessitatibus architecto odio ad illo sit nemo.,Pendiente,Sr(a). Santiago Diaz,Interés Económico,0,724999.4829431302,,0
104,2022-12-27,Servicios,Gobierno de Salta,Soria-Rojas,217863.32808152353,Dolorem asperiores nihil quo impedit eveniet aperiam ex neque porro.,Rescindido,Ramiro Martina Villalba Benitez,Amistad,1,243593.111176209,Doloremque eveniet sunt nihil repudiandae quas.,0
105,2022-04-25,Consultoría,Gobierno de Santa Fe,Moyano PLC,660711.7038673387,Magnam deserunt sequi accusantium nesciunt aperiam perspiciatis eveniet eveniet fugiat optio explicabo sint tempore saepe sit ducimus veniam officiis autem.,Pendiente,Ciro Ramirez Morales,Interés Económico,8,51697.66947043342,,0
106,2024-03-05,Suministro,Municipalidad de San Luis,Sosa Group,480907.022062017,Vel veritatis provident quod totam corporis nemo neque aliquid impedit hic sapiente harum eum distinctio occaecati eaque.,Finalizado,Matias Morales,Ninguna,4,737417.254476152,,0
107,2023-08-05,Obra Pública,Gobierno de Río Gallegos,Arias Inc,360118.51116243855,Ratione quod aliquam modi magni sapiente temporibus fugit voluptas quae amet repellat.,Finalizado,Joaquina Ambar Aguirre,Interés Económico,6,723494.7853681633,Ex eligendi quis repellat.,0
108,2023-10-30,Obra Pública,Municipalidad de Rawson,Rodriguez and Sons,830545.7983008644,Laudantium nisi dolore quasi tenetur non saepe a earum nulla.,Pendiente,Benjamin Diaz,Ninguna,2,431872.6231607815,In quasi est quidem consectetur. Error sapiente recusandae iusto sit.,0
109,2023-06-18,Obra Pública,Gobierno de Rosario,Cardozo and Sons,744529.7487225727,Quisquam repellendus omnis ipsum maiores ea fuga omnis ipsam neque non nam non iusto aspernatur ipsum esse.,Pendiente,Dr(a). Francisco Lopez,Familiar,5,281692.2148565934,,0
110,2023-05-17,Consultoría,Gobierno de San Salvador de Jujuy,Rodriguez and Sons,268757.70138732437,Aspernatur veritatis impedit eum dolor enim aliquid error facere consectetur voluptatem veniam asperiores earum ullam sapiente.,Rescindido,Ana Paula Ruiz,Familiar,1,39088.83041967252,Quo qui id molestiae quidem veritatis molestias.,0
111,2024-11-20,Consultoría,Municipalidad de San Juan,Torres-Fernandez,135924.8407362473,At neque dolorem quo odio temporibus culpa fuga delectus amet ullam voluptatibus sapiente esse harum fugiat magni itaque eaque.,Rescindido,Emilia Martina Gonzalez,Familiar,8,503784.23412594554,Molestiae vero odit numquam. Pariatur quas illum quis deserunt dolorem.,0
112,2023-10-06,Obra Pública,Municipalidad de Merlo,"Pereyra, Flores and Fernandez",702517.0428209829,Voluptas rem velit nobis nostrum expedita hic repellendus unde autem debitis velit adipisci repellat mollitia commodi labore illum.,Finalizado,Nahiara Jazmin Gomez,Familiar,1,641526.0164857717,Maiores repellat numquam unde fuga. Id delectus harum corporis tempore.,0
113,2024-08-13,Servicios,Gobierno de Santiago del Estero,Torres-Godoy,831942.0453088931,Eligendi repellendus iste iure corporis ullam sint ut adipisci nobis atque repellat dicta eaque nostrum optio incidunt repudiandae tempora deleniti iste.,En Curso,Maximo Geronimo Maidana,Ninguna,0,148654.5459330486,,0
114,2022-12-22,Obra Pública,Municipalidad de San Luis,Hernandez and Sons,385791.7129100752,Impedit doloribus quidem suscipit veniam saepe iste aperiam ipsam consequatur dolore rerum neque officiis.,En Curso,Lara Aguero,Amistad,4,863868.98928723,Magni deleniti nostrum saepe. Labore quasi sequi quisquam quo ex.,0
115,2024-05-28,Suministro,Gobierno de Santa Rosa,Correa and Sons,685023.7999854322,Culpa ea nisi voluptatem molestias eius quidem autem quisquam sunt.,Pendiente,Sr(a). Agustina Fernandez,Amistad,7,359640.0092238147,Eius recusandae quae est similique.,0
116,2023-08-21,Obra Pública,Gobierno de Santa Rosa,Gonzalez Inc,998843.9491518008,Velit corporis ex est velit facilis illo dolor fuga ea fuga recusandae odio magnam fugiat consequatur.,Pendiente,Facundo Lopez,Ninguna,8,827413.2168886273,,0
117,2022-07-08,Consultoría,Gobierno de Resistencia,Vargas-Martinez,391951.96463481366,Excepturi aut voluptatum molestias minima necessitatibus sapiente optio atque saepe odio corrupti officia adipisci magnam tempora corrupti reiciendis autem rem.,Rescindido,Elena Sebastian Aguero Maldonado,Interés Económico,6,106362.18240770242,,0
118,2024-04-12,Obra Pública,Gobierno de Rosario,Rodriguez-Flores,905075.4251756851,Totam alias officiis nihil voluptatem error hic culpa eaque dignissimos optio sint fugit.,Finalizado,Dr(a). Lautaro Ezequiel Correa,Ninguna,0,835911.3349419873,Quo ex harum debitis natus.,0
119,2024-09-06,Servicios,Municipalidad de Santa Fe,"Perez, Rivero and Villalba",213748.2289407073,Sit cum aut doloribus suscipit commodi aspernatur quas neque magni atque vitae quaerat aspernatur.,Rescindido,Rafael Gimenez Torres,Interés Económico,6,863241.4560074548,,0
120,2022-11-07,Suministro,Municipalidad de Posadas,"Vazquez, Rojas and Rivero",826656.0613389148,Mollitia aliquid blanditiis sapiente porro eveniet alias quaerat voluptatem alias pariatur provident quod minima dolores deleniti amet.,Rescindido,Matias Fernandez,Familiar,5,81963.74930719353,,0
121,2024-02-24,Suministro,Gobierno de Neuquén,Rodriguez-Rodriguez,463218.58855489123,Facere omnis in eaque optio aliquid ipsa aliquam cupiditate accusamus placeat natus aspernatur voluptatibus alias.,Pendiente,Benicio Ruiz Farias,Interés Económico,4,281762.176622945,Impedit sequi sit cupiditate.,0
122,2024-09-12,Servicios,Gobierno de San Juan,Leiva LLC,560607.4667847627,Odio laborum accusamus tenetur omnis temporibus quibusdam autem quaerat perferendis nesciunt placeat aut excepturi.,Rescindido,Sr(a). Juan Ignacio Gimenez,Familiar,6,274738.26247878687,Aut consequatur repellendus repellendus non maxime.,0
123,2024-12-06,Servicios,Municipalidad de Comodoro Rivadavia,"Suarez, Gomez and Diaz",199901.39308107615,Eveniet deserunt dicta officia harum culpa ipsum mollitia necessitatibus modi velit sed impedit earum et explicabo excepturi earum veniam consectetur repudiandae.,Finalizado,Sr(a). Lautaro Nahuel Dominguez,Ninguna,1,587734.5460670787,,0
124,2023-08-25,Servicios,Municipalidad de Rosario,"Alvarez, Maidana and Castro",306177.8850881788,Voluptatum consectetur veniam hic amet nobis vero voluptatibus omnis quibusdam quis quo porro.,En Curso,Thiago Leonel Thiago Gabriel Diaz,Interés Económico,4,195205.1286980916,,0
125,2024-11-30,Servicios,Municipalidad de Rosario,Gutierrez-Medina,511425.13508175354,Natus tempora alias repudiandae earum voluptatem quas ea sequi vel iste tempora nulla voluptates itaque.,En Curso,Sr(a). Valentina Ojeda,Ninguna,7,476662.8947636982,,0
126,2022-07-04,Consultoría,Gobierno de La Rioja,"Gonzalez, Ramirez and Coronel",180547.291633696,Ipsa cumque adipisci nesciunt voluptate iure accusamus quam nihil tenetur qui animi earum impedit quos magni provident.,En Curso,Morena Francesca Diaz Acosta,Ninguna,3,178941.00267670746,,0
127,2024-09-23,Suministro,Gobierno de Posadas,Cabrera Inc,760713.1494579975,Quos at quod consequuntur vero natus possimus in magni saepe saepe debitis aspernatur excepturi.,Pendiente,Maria Victoria Thiago Emanuel Gomez Cabrera,Amistad,7,501207.6910403194,,0
128,2025-02-28,Obra Pública,Gobierno de Rawson,"Ledesma, Valdez and Lopez",277853.4622807967,Fuga iste ipsam distinctio officia dolor adipisci temporibus fugit quas nulla non.,Rescindido,Sr(a). Emilia Gomez,Familiar,3,803462.3823045057,,0
129,2023-10-25,Servicios,Municipalidad de San Miguel de Tucumán,Diaz and Sons,61598.34236439508,Perspiciatis provident quasi qui nam praesentium in possimus odio asperiores incidunt iure esse commodi voluptatum minima.,Rescindido,Dr(a). Joaquin Arias,Ninguna,6,822841.1112037173,Sunt ab architecto. Doloribus ipsam ad perferendis harum.,0
130,2024-04-18,Consultoría,Gobierno de San Ferando del Valle de Catamarca,Coronel LLC,359673.6519079107,Autem a ratione magni eveniet ea ex aspernatur quisquam quasi dolore sint ducimus a beatae.,En Curso,Bruno Sofía Cabrera,Interés Económico,8,368716.7177005152,,0
131,2024-10-01,Obra Pública,Gobierno de San Juan,"Castro, Martinez and Cabrera",235964.2489970826,Corrupti similique iure temporibus cupiditate praesentium quae unde repellendus vel harum quod minus ab eaque.,En Curso,Luisana Miguel Angel Fernandez Perez,Familiar,2,220897.8352555714,Voluptatem facere qui inventore.,0
132,2025-02-21,Servicios,Municipalidad de Río Gallegos,Ramos Ltd,67513.64166110629,Necessitatibus pariatur est exercitationem temporibus minima incidunt nulla incidunt maxime maiores repellendus debitis soluta voluptatum cum perferendis dolores provident.,Finalizado,Sofia Flores Castro,Interés Económico,6,872675.4135686498,,0
133,2022-10-08,Obra Pública,Gobierno de San Salvador de Jujuy,"Gomez, Silva and Gutierrez",507441.42706513754,Voluptatum quia dicta maxime adipisci laudantium cumque aperiam facere ratione.,Finalizado,Santino Ezequiel Ivan Fernandez,Familiar,7,568359.2242134858,Explicabo officiis earum. Quam omnis repellat quae provident perferendis.,0
134,2024-03-08,Suministro,Municipalidad de San Luis,Toledo-Duarte,494425.1640600502,Saepe optio harum quos labore voluptatibus exercitationem in numquam corporis quasi.,En Curso,Morena Fernandez Perez,Interés Económico,0,5435.731987642092,Dolor magnam reiciendis hic.,0
135,2024-09-04,Consultoría,Gobierno de Mendoza,Leiva-Fernandez,25387.991112407217,Corrupti molestiae possimus possimus nesciunt labore possimus aperiam repellat exercitationem nesciunt dolorum repellat quam tempore veritatis porro fuga distinctio dicta.,En Curso,Ramiro Clara Perez Sosa,Ninguna,6,705183.2844485651,,0
136,2024-02-20,Obra Pública,Gobierno de Viedma,Gonzalez-Lopez,982552.1734251562,Tenetur odio id non veniam esse eius voluptatem esse.,Pendiente,Victoria Nuñez,Amistad,0,167648.4291272181,Eveniet dolorum harum. Omnis eveniet aliquid incidunt quasi tempora debitis.,0
137,2024-12-31,Obra Pública,Gobierno de San Salvador de Jujuy,"Peralta, Carrizo and Bustos",268039.94547879347,Ducimus commodi placeat ratione dolores sed nulla minus facere mollitia dicta assumenda nostrum minus illo aperiam cum culpa.,Pendiente,Manuel Jazmín Alvarez Gomez,Ninguna,7,624794.8409425924,Dolores corporis sit in quas nobis.,0
138,2025-03-05,Obra Pública,Municipalidad de Salta,Fernandez-Gomez,937097.0283092163,At esse repellendus facilis beatae quidem aliquam quis ad in aspernatur dolorum consectetur animi ea.,En Curso,Juan Ignacio Ramiro Valdez,Amistad,8,100915.21929517103,Quaerat atque qui vel maxime a.,0
139,2025-03-09,Suministro,Gobierno de San Juan,Garcia-Diaz,397884.9261274148,Voluptates laudantium architecto accusantium laudantium suscipit commodi ab aut id exercitationem explicabo ipsum molestias quisquam id nesciunt recusandae sapiente amet eum.,Pendiente,Lorenzo Joaquin Blanco Romero,Ninguna,7,91617.33455353802,Iure maiores debitis eaque tempore. Esse culpa veritatis cum id.,0
140,2024-07-17,Suministro,Municipalidad de Comodoro Rivadavia,"Campos, Muñoz and Gomez",672747.5551709514,Cumque minima illo unde quos reprehenderit ratione odio sit eos odit tenetur.,Rescindido,Santino Victoria Gomez,Amistad,1,262679.4052223584,Debitis alias reprehenderit necessitatibus eum sequi sed.,0
141,2022-11-04,Consultoría,Gobierno de Paraná,Toledo-Ledesma,988023.8005465097,Vel amet dignissimos quisquam aspernatur hic vitae sit ipsa praesentium maxime velit expedita odio iste consequatur praesentium necessitatibus laborum reiciendis.,En Curso,Maria Belen Fernandez,Familiar,3,859328.7842942962,,0
142,2024-12-01,Consultoría,Gobierno de Mar del Plata,"Lopez, Gonzalez and Lopez",704086.6991447848,Saepe praesentium asperiores earum adipisci ab omnis est possimus ipsam amet delectus facilis ipsam beatae inventore.,Rescindido,Facundo Maldonado,Amistad,8,509718.2535375899,,0
143,2025-02-10,Suministro,Municipalidad de Santiago del Estero,"Vera, Rojas and Sosa",832346.7938649652,Laboriosam necessitatibus commodi porro tempore amet nesciunt tempora quae labore sapiente optio omnis nihil consequuntur.,En Curso,Sr(a). Thiago Benjamin Miranda,Interés Económico,0,26868.859941573246,,0
144,2023-09-20,Obra Pública,Municipalidad de Neuquén,"Medina, Navarro and Gonzalez",173746.19582873842,Sint odio accusamus nisi quam ex unde cumque assumenda iusto ad dolor.,Finalizado,Luna Maria Emilia Rios Rodriguez,Familiar,1,412311.2192079059,,0
145,2022-05-23,Servicios,Municipalidad de Río Gallegos,"Caceres, Silva and Juarez",505798.40411551006,Odio ex dolorem animi assumenda ipsa culpa aliquid dolore vero earum quo adipisci officiis.,Rescindido,Lourdes Silva Villalba,Amistad,3,143297.92622118423,,0
146,2024-01-05,Suministro,Gobierno de Río Gallegos,Gonzalez-Dominguez,906890.2870402342,Tempore modi iure exercitationem dolorem assumenda atque recusandae vero quae voluptatum molestiae reprehenderit id cum odit.,Pendiente,Juan Manuel Santino Gomez,Amistad,6,433338.1627449884,,0
147,2022-08-15,Servicios,Gobierno de San Juan,Dominguez-Lopez,506247.9653781121,Laudantium recusandae blanditiis natus sapiente ullam error ratione velit eligendi voluptate veritatis voluptas in quis quas voluptatum.,En Curso,Sr(a). Delfina Ledesma,Interés Económico,5,192189.46417222443,,0
148,2022-11-24,Obra Pública,Gobierno de Córdoba,Gomez-Leiva,135334.54966576345,Quae corporis voluptatum qui atque autem repudiandae saepe facilis.,Pendiente,Sofia Benitez Torres,Familiar,5,808035.6803288804,,0
149,2022-11-08,Consultoría,Gobierno de Formosa,"Fernandez, Godoy and Torres",42036.688214553724,Facilis iste earum exercitationem nobis exercitationem fugit non ipsum alias odio velit maxime et.,En Curso,Sr(a). Emilia Cabrera,Familiar,2,165793.6552718237,Accusantium rerum officiis rem hic.,0
150,2023-03-06,Consultoría,Gobierno de San Salvador de Jujuy,Cardozo-Vargas,126680.0410227024,Saepe sit exercitationem et perferendis occaecati adipisci ab voluptas veniam molestiae doloribus doloribus aliquid accusantium vel beatae voluptatem esse exercitationem.,En Curso,Santino Ciro Maldonado Soto,Familiar,8,475252.2091573548,Voluptas amet impedit id quo. Earum soluta totam aliquam eaque ad.,0
151,2024-04-12,Consultoría,Gobierno de Santiago del Estero,"Navarro, Sosa and Ferreyra",557901.3043477985,Cumque quos tempore laudantium rem dignissimos fuga porro dolore blanditiis porro impedit est officia repudiandae rem.,En Curso,Gael Ramirez Gimenez,Ninguna,4,893795.3683798533,,0
152,2022-08-05,Obra Pública,Municipalidad de Paraná,Franco LLC,720784.8464215583,Veniam eum occaecati ipsum quis labore nesciunt eius voluptatem dolorum reiciendis eaque quasi natus eos molestias incidunt.,Pendiente,Agustin Martinez Ferreyra,Interés Económico,6,45583.56597659122,,0
153,2024-05-14,Consultoría,Gobierno de Ushuaia,Aguirre-Perez,544692.4846578168,Magni iste repudiandae cupiditate voluptatem iste error ipsa asperiores distinctio dolores similique tempore magni vitae.,En Curso,Valentino Dylan Benjamin Aguirre,Interés Económico,9,563758.8066939409,,0
154,2022-05-24,Servicios,Gobierno de Ushuaia,Perez and Sons,989770.5561768214,Iusto error eligendi voluptas inventore ipsa odio labore placeat.,Pendiente,Sofia Thiago Valentin Martinez,Interés Económico,1,868433.7714912223,Magnam magnam quae quam excepturi nostrum.,0
155,2023-04-07,Consultoría,Gobierno de Bahía Blanca,"Medina, Cardozo and Flores",759911.4921566847,Eaque perferendis alias asperiores officia aperiam recusandae ut consectetur dolor iure dolorum.,Rescindido,Santino Ezequiel Bautista Perez,Familiar,1,846511.500634523,,0
156,2025-02-24,Suministro,Municipalidad de Chilecito,"Herrera, Mendez and Ortiz",146658.77887722634,Facilis suscipit quis debitis deserunt voluptas fugiat sed veniam quia ab mollitia inventore quas dicta.,Rescindido,Juan Pablo Maldonado Rodriguez,Interés Económico,2,430020.4074657747,,0
157,2022-12-07,Obra Pública,Municipalidad de Bahía Blanca,Mansilla-Rodriguez,231296.58263022124,Ipsam optio excepturi minus maxime ea possimus quia rerum necessitatibus sunt minus quos possimus fugiat.,Rescindido,Mateo Fernandez Gimenez,Familiar,2,201843.7993744261,,0
158,2022-11-21,Servicios,Municipalidad de San Ferando del Valle de Catamarca,Peralta-Romero,468969.35452040855,Odio fugit cumque dolorem in soluta libero aut non earum facilis ipsa similique.,Pendiente,Renata Guadalupe Garcia,Interés Económico,8,365402.30543957505,,0
159,2023-12-28,Servicios,Municipalidad de Neuquén,Fernandez PLC,32266.580283942832,Accusantium repellendus ad tempore iusto beatae hic pariatur rerum autem illum quo deleniti quo repellat quos qui numquam esse quo.,Finalizado,Carmela Morales,Amistad,3,440337.2363145423,Assumenda rem rerum necessitatibus. Tempore fugit aliquam numquam dolore a.,0
160,2025-01-13,Obra Pública,Municipalidad de Mendoza,Acosta LLC,450190.23515063024,Labore dolores voluptates perspiciatis soluta magnam eius eligendi sunt ipsam voluptates quis.,Pendiente,Dr(a). Santino Torres,Amistad,8,412126.25594780326,,0
161,2022-12-08,Servicios,Gobierno de Resistencia,Fernandez LLC,221300.10067410578,Hic dolores vel explicabo qui adipisci expedita vero officia ratione deleniti maxime a.,En Curso,Juan David Rios Rios,Familiar,0,343756.28767468745,Sit non cumque harum. Deserunt suscipit sunt voluptate dolor.,0
162,2024-07-25,Obra Pública,Municipalidad de Formosa,"Ruiz, Escobar and Perez",877011.9528431654,Fugiat explicabo dicta nisi quasi sunt quam quaerat voluptate dignissimos error deleniti optio in quos recusandae dolorum.,En Curso,Guadalupe Rodriguez Coronel,Amistad,5,164719.15510264543,,0
163,2023-04-16,Suministro,Municipalidad de La Rioja,"Lopez, Aguero and Benitez",471300.0092246394,Officiis sapiente voluptatem ducimus totam tempore ipsam mollitia in aut consectetur nihil excepturi assumenda occaecati.,Rescindido,Dr(a). Gael Rojas,Ninguna,7,582314.9810197935,Repudiandae incidunt eos optio aperiam. Occaecati quis minus pariatur qui.,0
164,2022-11-20,Suministro,Gobierno de Resistencia,"Gonzalez, Martin and Nuñez",169558.62576624547,Rem corrupti quaerat earum quia earum beatae in voluptate officiis aspernatur suscipit omnis aperiam dicta.,Pendiente,Martina Guzman,Familiar,9,23034.401548464968,,0
165,2024-12-30,Consultoría,Municipalidad de Rosario,Aguirre-Romero,436072.6212176025,Fugit corrupti deleniti voluptatibus reiciendis ex quo ipsum amet totam.,En Curso,Martina Emma Olivera,Amistad,1,856627.1003387407,,0
166,2024-06-21,Consultoría,Gobierno de Ushuaia,Castro Ltd,188158.11076841885,Officiis porro ullam velit quam consectetur dolorem aspernatur consequatur accusamus ducimus veritatis consectetur.,En Curso,Antonio Correa,Interés Económico,0,764047.1820290183,,0
167,2023-08-09,Suministro,Gobierno de San Salvador de Jujuy,"Suarez, Diaz and Sanchez",759046.904420863,Cumque dignissimos similique illo modi dolorum qui esse dolores quas dolores deleniti labore ea cum architecto id rem voluptatem.,Finalizado,Thiago Garcia,Ninguna,0,102895.48877930587,,0
168,2023-07-12,Consultoría,Municipalidad de Salta,Acuña PLC,67145.97347290699,Blanditiis consequuntur non ducimus omnis explicabo nulla animi nemo rerum ab voluptate harum.,Pendiente,Valentina Jazmin Agustin Diaz,Amistad,9,141304.8595858512,,0
169,2022-11-06,Consultoría,Municipalidad de Mendoza,Nuñez Group,467717.2053094612,Architecto id quia ab sit quos dolorum delectus nisi modi pariatur magni hic id sint eligendi modi expedita optio odio.,Rescindido,Ambar Lopez,Amistad,4,654369.9610108892,Officia occaecati totam iste eligendi. In magni enim dolores pariatur.,0
170,2022-12-12,Suministro,Gobierno de San Salvador de Jujuy,"Rojas, Soto and Vega",285556.4718461733,A alias officiis autem in at rem saepe distinctio officiis quos ut accusamus voluptates.,En Curso,Lorenzo Felipe Aguero,Amistad,9,594766.5497841083,,0
171,2023-10-04,Servicios,Municipalidad de Río Gallegos,Rodriguez-Lopez,287544.48923373246,Officia quisquam eligendi sequi non nostrum et odit molestias similique molestiae natus libero soluta.,Pendiente,Maria Emilia Guillermina Lopez Sosa,Amistad,6,5049.276712472143,,0
172,2022-11-21,Obra Pública,Municipalidad de San Luis,Diaz Inc,493264.4653972806,Ipsum ea eveniet laudantium aliquid voluptatem odit rerum impedit reprehenderit fugiat.,Rescindido,Juan Ignacio Gonzalez,Amistad,4,778647.9980298405,,0
173,2023-07-22,Servicios,Gobierno de La Rioja,"Diaz, Ruiz and Barrios",201084.92573803043,Aliquid suscipit optio itaque consequuntur temporibus facere dicta nisi.,Pendiente,Bianca Mateo Benjamin Cabrera,Ninguna,8,124425.89909947338,,0
174,2024-05-04,Suministro,Municipalidad de San Juan,"Maidana, Villalba and Torres",457541.46990135347,Deserunt cupiditate impedit enim laboriosam adipisci cumque recusandae porro consectetur quis voluptas.,Rescindido,Carmela Castro,Interés Económico,2,776306.9078591993,Autem nihil odit repellendus hic. Quisquam magni ipsam dolor.,0
175,2022-12-01,Consultoría,Gobierno de Córdoba,Martinez-Rodriguez,429122.34255073225,Repellat a debitis nobis placeat voluptatum corrupti quisquam in nulla molestias dolores sed quod eaque alias facilis tempora corrupti.,Pendiente,Dr(a). Juan Cruz Suarez,Amistad,2,476633.25279950735,Aut rem voluptatum. Fugit alias numquam quidem perferendis deserunt unde.,0
176,2022-07-30,Consultoría,Gobierno de Chilecito,Ruiz LLC,98896.97820697437,Delectus nulla a sed nam provident placeat itaque fuga ab at esse corrupti fuga qui sequi.,En Curso,Olivia Gonzalez Barrios,Interés Económico,1,48799.03204382333,,0
177,2022-12-12,Consultoría,Municipalidad de Neuquén,Rodriguez-Gonzalez,702736.986204861,Fugiat non blanditiis modi rerum ipsa dolores nobis quam dicta modi.,En Curso,Mateo Valentin Diaz,Ninguna,2,582000.1834337836,Laborum eos distinctio tempore temporibus. Eos aliquam explicabo nesciunt quia.,0
178,2024-10-25,Suministro,Gobierno de Resistencia,Vargas PLC,982787.484428429,Ex perspiciatis tempore modi laudantium veniam non aut vel aliquid excepturi id alias quaerat reiciendis non dolores.,Pendiente,Dr(a). Benjamin Ramos,Ninguna,5,565593.295219026,Nulla aut blanditiis fuga.,0
179,2024-09-07,Obra Pública,Municipalidad de Bahía Blanca,"Rodriguez, Diaz and Silva",203138.78358357848,Similique exercitationem velit inventore consectetur ipsum cum in hic voluptates ab nihil occaecati officia ullam harum nisi placeat.,En Curso,Bianca Ruiz Caceres,Interés Económico,4,477554.65538650367,Minima nesciunt consequuntur repudiandae repellendus.,0
180,2024-07-02,Obra Pública,Gobierno de Ushuaia,Diaz and Sons,313602.3449755211,Doloremque praesentium perspiciatis iste dicta voluptatibus perferendis tenetur deserunt iusto quaerat.,Pendiente,Fausto Juan Francisco Diaz Rodriguez,Ninguna,0,803243.0547781176,Deserunt dolore nihil architecto corporis omnis esse. Harum aut architecto in.,0
181,2024-06-13,Consultoría,Gobierno de Mendoza,Rodriguez-Moreno,119495.69475213984,Nemo ipsa laborum unde magni velit itaque nam qui architecto illum quasi voluptatem aperiam rem sapiente.,Rescindido,Santino Juan Cruz Lopez,Ninguna,2,528900.3258044993,Aut nisi ducimus debitis incidunt animi fugiat. Ea consequuntur a.,0
182,2022-12-17,Obra Pública,Gobierno de Neuquén,Leiva Ltd,697822.6409730385,Perspiciatis possimus maxime voluptate fugit quibusdam placeat in voluptates tenetur autem recusandae laudantium voluptatem quos.,Rescindido,Lorenzo Gonzalez Romero,Amistad,3,207478.92210086115,Ducimus voluptatem rerum iste dolorum.,0
183,2022-08-26,Obra Pública,Municipalidad de San Juan,Aguirre LLC,970373.9014057266,Cumque nemo occaecati debitis et impedit id voluptatibus dolorem soluta veniam omnis hic suscipit odio fugit fuga porro impedit ullam.,Finalizado,Pedro Carrizo Rivero,Interés Económico,5,598462.4038080107,Aliquam quia expedita harum placeat. Aspernatur perferendis nemo nulla.,0
184,2023-09-17,Suministro,Municipalidad de Corrientes,"Mansilla, Lopez and Garcia",203623.20359947992,Iusto suscipit ut rerum cupiditate voluptas error quae consequatur ab soluta repellat iusto minus animi voluptatibus.,En Curso,Alma Emanuel Carrizo Correa,Amistad,4,211986.91995286342,,0
185,2022-08-08,Consultoría,Gobierno de San Juan,Coronel PLC,804396.7905916051,Molestias veniam explicabo exercitationem doloremque harum reiciendis nulla necessitatibus maiores doloribus provident dignissimos optio.,Pendiente,Luisana Antonella Franco Farias,Amistad,5,132651.28468187808,,0
186,2024-10-22,Servicios,Gobierno de Constitución,Pereyra Ltd,582323.390142704,Nesciunt commodi ipsum in eos maxime voluptates ullam dolores beatae.,Finalizado,Dr(a). Lucas Hernandez,Interés Económico,5,775325.9948852,,0
187,2023-01-02,Suministro,Gobierno de Corrientes,Miranda Group,983229.5142224659,Atque cumque eligendi nobis eos enim quaerat dolorum saepe occaecati.,En Curso,Valentin Julian Vega Miranda,Interés Económico,4,529959.7771153891,Sit cum architecto maxime accusamus necessitatibus quia.,0
188,2024-01-20,Consultoría,Gobierno de Santiago del Estero,Valdez-Molina,543255.3714311601,Nam vitae accusamus ut fugit quis dicta corporis quos exercitationem molestiae modi porro iure corrupti magni veniam distinctio.,Finalizado,Mateo Juana Juarez,Interés Económico,5,543326.4577255362,,0
189,2024-02-27,Servicios,Gobierno de Ushuaia,Rodriguez-Perez,11981.524450159688,Eum totam minus cum consequuntur soluta numquam nostrum tempore eius voluptate.,Finalizado,Franco Thiago Acuña Gimenez,Amistad,9,388975.86882867,Assumenda expedita molestias harum dignissimos.,0
